source_file_id,source_file,source_sha256,cohort,slice_id,genotype,roi_id,onset_index,sampling_rate_hz,n_frames,area_pixels,fluorescence_offset,baseline_f0,raw_baseline_median,baseline_method,auc_window_nominal_s,auc_samples_per_window,auc_effective_duration_s,pre_auc,post_auc,delta_auc,raw_median_shift,baseline_mad_scale,robust_z_shift,orthogonal_issue
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice2_H1Rflox_GCaMP_CreRFP,KO,KO8,118,0.71,213,352.38,100000,68362.96,-31637.04,onset_minus_70s_to_minus_10s,30,21,28.16901408,0.06903386212,0.6711819663,0.6021481042,1350.51,350.471814,3.853405455,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice2_H1Rflox_GCaMP_CreRFP,KO,KO9,118,0.71,213,148.94,100000,68154.625,-31845.375,onset_minus_70s_to_minus_10s,30,21,28.16901408,0.05746274905,0.8631406624,0.8056779134,2551.83,298.084143,8.560770708,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice2_H1Rflox_GCaMP_CreRFP,WT,WT1,118,0.71,213,224.84,100000,68244.65,-31755.35,onset_minus_70s_to_minus_10s,30,21,28.16901408,0.03685415035,0.4621535467,0.4252993964,1391.99,257.779662,5.399921736,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice3_H1Rflox_GCaMP_CreRFP,KO,KO1,121,0.71,213,293.65,100000,100008.42,8.42,onset_minus_70s_to_minus_10s,30,21,28.16901408,-2.894122512e-05,0.0002542039481,0.0002831451733,1.19,0.07413,16.05288008,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice3_H1Rflox_GCaMP_CreRFP,KO,KO2,121,0.71,213,237.92,100000,100008.38,8.38,onset_minus_70s_to_minus_10s,30,21,28.16901408,-2.633582123e-05,0.0003579277521,0.0003842635734,1.4,0.07413,18.88574127,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice3_H1Rflox_GCaMP_CreRFP,KO,KO3,121,0.71,213,217.48,100000,100008.205,8.205,onset_minus_70s_to_minus_10s,30,21,28.16901408,-2.513878243e-05,0.0001497764432,0.0001749152257,0.77,0.111195,6.924771797,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice3_H1Rflox_GCaMP_CreRFP,KO,KO4,121,0.71,213,130.95,100000,100008.17,8.17,onset_minus_70s_to_minus_10s,30,21,28.16901408,-2.330795489e-05,0.0001444248202,0.0001677327751,0.58,0.126021,4.602407535,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice3_H1Rflox_GCaMP_CreRFP,WT,WT1,121,0.71,213,198.4,100000,100008.28,8.28,onset_minus_70s_to_minus_10s,30,21,28.16901408,-1.894209357e-05,0.0002310372081,0.0002499793017,0.81,0.066717,12.14083367,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice3_H1Rflox_GCaMP_CreRFP,WT,WT2,121,0.71,213,291.2,100000,100008.355,8.355,onset_minus_70s_to_minus_10s,30,21,28.16901408,-2.75329109e-05,0.0004068674147,0.0004344003256,1.69,0.096369,17.53675975,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice3_H1Rflox_GCaMP_CreRFP,WT,WT3,121,0.71,213,197.45,100000,100008.33,8.33,onset_minus_70s_to_minus_10s,30,21,28.16901408,-1.147791713e-05,0.0003934883492,0.0004049662663,1.43,0.059304,24.11304465,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice3_H1Rflox_GCaMP_CreRFP,WT,WT4,121,0.71,213,130,100000,100008.425,8.425,onset_minus_70s_to_minus_10s,30,21,28.16901408,-1.802665027e-05,0.0002490635234,0.0002670901737,0.95,0.096369,9.857941869,
